Energy (eV)	Intensity
3.03	97.685013
3.04	110.41848
3.05	89.357094
3.06	98.050743
3.07	122.68199
3.08	148.66026
3.09	116.85276
3.1	128.78424
3.11	119.67646
3.12	121.17353
3.13	121.88422
3.14	122.38062
3.15	127.18681
3.16	100.18683
3.17	106.74091
3.18	125.82269
3.19	103.00007
3.2	132.75896
3.21	134.12842
3.22	119.8208
3.23	132.70778
3.24	143.34718
3.25	131.46188
3.26	144.22336
3.27	136.36093
3.28	116.54743
3.29	97.446381
3.3	118.65358
3.31	144.45564
3.32	134.44897
3.33	124.54941
3.34	124.21802
3.35	149.24237
3.36	135.98358
3.37	106.64298
3.38	119.30637
3.39	159.23006
3.4	157.03915
3.41	134.08801
3.42	173.25697
3.43	163.23967
3.44	166.88623
3.45	135.36568
3.46	114.96341
3.47	105.95244
3.48	88.193222
3.49	93.728607
3.5	92.906403
3.51	96.879044
3.52	91.118004
3.53	111.35722
3.54	95.879547
3.55	117.45944
3.56	117.10745
3.57	160.83337
3.58	151.25708
3.59	131.73431
3.6	130.85881
3.61	111.95557
3.62	97.416977
3.63	135.10046
3.64	111.19034
3.65	86.045753
3.66	94.725677
3.67	71.032761
3.68	55.04269
3.69	96.829742
3.7	92.757942
3.71	93.586899
3.72	76.453163
3.73	61.462059
3.74	73.911758
3.75	73.536583
3.76	73.319504
3.77	47.632519
3.78	80.728149
3.79	73.309845
3.8	63.412186
3.81	81.154778
3.82	65.486984
3.83	68.040146
3.84	55.786732
3.85	52.609001
3.86	48.590233
3.87	82.447853
3.88	104.85338
3.89	91.00705
3.9	62.91003
3.91	64.842667
3.92	66.18399
3.93	52.855984
3.94	40.377365
3.95	53.102879
3.96	61.374424
3.97	43.393669
3.98	46.388153
3.99	54.999401
4	34.812618
4.01	42.590794
4.02	55.02972
4.03	63.409359
4.04	80.620346
4.05	88.451996
4.06	69.364204
4.07	71.265099
4.08	57.613071
4.09	74.55439
4.1	75.948364
4.11	70.605865
4.12	71.820152
4.13	36.139778
4.14	66.754868
4.15	78.459824
4.16	62.440594

